Algoritmo,Tamano_Matriz,Num_Hilos,Repeticion,Tiempo_usec
mmClasicaPosix,500,16,21,225542
mmClasicaPosix,500,16,22,236957
mmClasicaPosix,500,16,23,221342
mmClasicaPosix,500,16,24,223196
mmClasicaPosix,500,16,25,230401
mmClasicaPosix,500,16,26,235473
mmClasicaPosix,500,16,27,226817
mmClasicaPosix,500,16,28,243716
mmClasicaPosix,500,16,29,229979
mmClasicaPosix,500,16,30,229827
mmClasicaPosix,1000,1,1,8601049
mmClasicaPosix,1000,1,2,8446816
mmClasicaPosix,1000,1,3,7279162
mmClasicaPosix,1000,1,4,6427108
mmClasicaPosix,1000,1,5,6242838
mmClasicaPosix,1000,1,6,7394491
mmClasicaPosix,1000,1,7,8612136
mmClasicaPosix,1000,1,8,8262202
mmClasicaPosix,1000,1,9,8461105
mmClasicaPosix,1000,1,10,8579627
mmClasicaPosix,1000,1,11,8607274
mmClasicaPosix,1000,1,12,8077070
mmClasicaPosix,1000,1,13,8371807
mmClasicaPosix,1000,1,14,8214009
mmClasicaPosix,1000,1,15,7990576
mmClasicaPosix,1000,1,16,8214519
mmClasicaPosix,1000,1,17,7993324
mmClasicaPosix,1000,1,18,7783462
mmClasicaPosix,1000,1,19,7859971
mmClasicaPosix,1000,1,20,7901914
mmClasicaPosix,1000,1,21,7809881
mmClasicaPosix,1000,1,22,7795854
mmClasicaPosix,1000,1,23,7859770
mmClasicaPosix,1000,1,24,7851368
mmClasicaPosix,1000,1,25,7880498
mmClasicaPosix,1000,1,26,7359308
mmClasicaPosix,1000,1,27,7391788
mmClasicaPosix,1000,1,28,7377838
mmClasicaPosix,1000,1,29,7361524
mmClasicaPosix,1000,1,30,7015677
mmClasicaPosix,1000,2,1,3292689
mmClasicaPosix,1000,2,2,3401359
mmClasicaPosix,1000,2,3,3373736
mmClasicaPosix,1000,2,4,3227265
mmClasicaPosix,1000,2,5,3015490
mmClasicaPosix,1000,2,6,3548012
mmClasicaPosix,1000,2,7,2886680
mmClasicaPosix,1000,2,8,3235395
mmClasicaPosix,1000,2,9,3156216
mmClasicaPosix,1000,2,10,3175953
mmClasicaPosix,1000,2,11,3364763
mmClasicaPosix,1000,2,12,3375515
mmClasicaPosix,1000,2,13,3230921
mmClasicaPosix,1000,2,14,3066799
mmClasicaPosix,1000,2,15,3321996
mmClasicaPosix,1000,2,16,3116772
mmClasicaPosix,1000,2,17,3035895
mmClasicaPosix,1000,2,18,3117336
mmClasicaPosix,1000,2,19,3081412
mmClasicaPosix,1000,2,20,3036484
mmClasicaPosix,1000,2,21,2930700
mmClasicaPosix,1000,2,22,3245439
mmClasicaPosix,1000,2,23,3033306
mmClasicaPosix,1000,2,24,3149940
mmClasicaPosix,1000,2,25,3133392
mmClasicaPosix,1000,2,26,3007568
mmClasicaPosix,1000,2,27,3105901
mmClasicaPosix,1000,2,28,2386737
mmClasicaPosix,1000,2,29,2616868
mmClasicaPosix,1000,2,30,2326655
mmClasicaPosix,1000,4,1,1683880
mmClasicaPosix,1000,4,2,1542509
mmClasicaPosix,1000,4,3,1825903
mmClasicaPosix,1000,4,4,1693260
mmClasicaPosix,1000,4,5,1788172
mmClasicaPosix,1000,4,6,1709644
mmClasicaPosix,1000,4,7,1723298
mmClasicaPosix,1000,4,8,1634058
mmClasicaPosix,1000,4,9,1749812
